[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A + LeftShift
[09:17:30] A
[09:17:30] A
[09:17:30] A
[09:17:30] A
[09:17:30] A
[09:17:30] A
[09:17:30] A
[09:17:30] A
[09:17:30] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] A + D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + Space + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D + LeftShift
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:31] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + Space + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D + LeftShift
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] D + A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + Space + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A + LeftShift
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:32] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + Space + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A + LeftShift
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] A + D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space
[09:17:33] D + Space + LeftShift
[09:17:33] D + Space + LeftShift
[09:17:33] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + Space + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D + LeftShift
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:34] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
[09:17:35] D + Space + A + LeftShift
